,participant_id,language,duration,congruency,color,response_time,response_correct
83,4dedb84c,TR,short,0.0,red,0.4883421999984421,1.0
84,4dedb84c,TR,short,1.0,red,0.9076556000072742,1.0
85,4dedb84c,TR,short,0.0,blue,0.3417914999881759,1.0
86,4dedb84c,EN,short,0.0,blue,0.8128711000026669,0.0
87,4dedb84c,EN,short,1.0,blue,0.8599281999922823,1.0
88,4dedb84c,EN,short,1.0,green,0.5927418999926886,1.0
89,4dedb84c,EN,short,0.0,green,0.410659700006363,1.0
90,4dedb84c,EN,short,0.0,red,0.6232844999904046,1.0
91,4dedb84c,TR,short,1.0,blue,0.7919779999938328,1.0
92,4dedb84c,EN,short,1.0,red,0.6033386000053724,1.0
93,4dedb84c,TR,short,1.0,green,0.8529245999961859,1.0
94,4dedb84c,TR,short,0.0,red,0.6112943999905838,1.0
95,4dedb84c,TR,short,0.0,green,0.6944875999906799,1.0
96,4dedb84c,EN,short,1.0,green,0.4356638000026578,1.0
97,4dedb84c,EN,short,1.0,red,0.578162899997551,1.0
98,4dedb84c,TR,short,0.0,green,1.423797999988892,1.0
99,4dedb84c,EN,short,0.0,blue,0.7171872000035364,1.0
100,4dedb84c,TR,short,1.0,blue,0.434050700001535,1.0
101,4dedb84c,TR,short,0.0,red,0.5298923000082141,1.0
102,4dedb84c,TR,short,0.0,blue,1.0898285000002943,1.0
103,4dedb84c,EN,short,0.0,green,0.5736144999973476,1.0
104,4dedb84c,EN,short,1.0,blue,0.6568259999912698,1.0
105,4dedb84c,TR,short,1.0,green,0.8900076999998419,1.0
106,4dedb84c,TR,short,1.0,red,0.5341626000008546,1.0
107,4dedb84c,EN,short,0.0,red,0.6271393000060925,1.0
108,4dedb84c,TR,short,0.0,red,0.4316521000000648,1.0
109,4dedb84c,TR,short,1.0,red,0.5395084000047063,1.0
110,4dedb84c,TR,short,1.0,green,0.6336449000082212,1.0
111,4dedb84c,TR,short,1.0,blue,0.4218092999944929,1.0
112,4dedb84c,TR,short,0.0,blue,0.3342452000069897,1.0
113,4dedb84c,EN,short,1.0,red,0.440995799988741,1.0
114,4dedb84c,EN,short,1.0,green,0.6723559999954887,1.0
115,4dedb84c,EN,short,0.0,red,0.6883701000042493,1.0
116,4dedb84c,EN,short,0.0,blue,0.5330765000107931,1.0
117,4dedb84c,EN,short,0.0,green,0.5842145000060555,1.0
118,4dedb84c,EN,short,1.0,blue,0.5207058999949368,0.0
119,4dedb84c,TR,short,0.0,green,1.192239799987874,1.0
120,fabecb6b,EN,long,0.0,green,0.6759,1.0
121,fabecb6b,EN,long,1.0,red,0.7341,1.0
122,fabecb6b,TR,long,0.0,red,1.1198,1.0
123,fabecb6b,TR,long,1.0,red,0.5025,1.0
124,fabecb6b,EN,long,1.0,blue,0.8104,1.0
125,fabecb6b,EN,long,0.0,red,0.6331,1.0
126,fabecb6b,TR,long,0.0,blue,0.9038,1.0
127,fabecb6b,EN,long,1.0,green,0.5359,1.0
128,fabecb6b,TR,long,0.0,green,0.5252,1.0
129,fabecb6b,TR,long,1.0,blue,0.4292,1.0
130,fabecb6b,EN,long,0.0,blue,0.562,1.0
131,fabecb6b,TR,long,1.0,green,0.499,1.0
132,fabecb6b,EN,long,0.0,red,0.5473,0.0
133,fabecb6b,TR,long,1.0,red,0.7796,1.0
134,fabecb6b,TR,long,0.0,green,0.891,1.0
135,fabecb6b,EN,long,1.0,green,0.567,1.0
136,fabecb6b,EN,long,1.0,red,0.4665,1.0
137,fabecb6b,TR,long,1.0,green,0.6902,1.0
138,fabecb6b,EN,long,0.0,green,0.7969,1.0
139,fabecb6b,EN,long,1.0,blue,0.4976,1.0
140,fabecb6b,EN,long,0.0,blue,0.7733,0.0
141,fabecb6b,TR,long,0.0,red,1.4146,1.0
142,fabecb6b,TR,long,0.0,blue,0.9058,1.0
143,fabecb6b,TR,long,1.0,blue,0.4288,1.0
144,fabecb6b,EN,long,1.0,green,0.4423,1.0
145,fabecb6b,EN,long,0.0,blue,0.4681,1.0
146,fabecb6b,TR,long,0.0,blue,0.4219,0.0
147,fabecb6b,EN,long,0.0,green,0.749,0.0
148,fabecb6b,EN,long,0.0,red,0.9461,0.0
149,fabecb6b,EN,long,1.0,blue,0.6084,1.0
150,fabecb6b,TR,long,0.0,green,0.8469,1.0
151,fabecb6b,TR,long,1.0,blue,0.5562,1.0
152,fabecb6b,TR,long,0.0,red,0.8672,1.0
153,fabecb6b,EN,long,1.0,red,0.4814,1.0
154,fabecb6b,TR,long,1.0,green,0.5636,1.0
155,fabecb6b,TR,long,1.0,red,0.7562,1.0
156,fabecb6b,TR,long,1.0,red,0.4255,1.0
157,fabecb6b,EN,long,1.0,green,0.4813,1.0
158,fabecb6b,EN,long,1.0,red,0.4812,1.0
159,fabecb6b,TR,long,1.0,blue,0.4861,1.0
160,fabecb6b,TR,long,0.0,blue,0.5074,1.0
161,fabecb6b,EN,long,0.0,red,0.5981,1.0
162,fabecb6b,TR,long,0.0,red,0.4827,1.0
163,fabecb6b,EN,long,0.0,blue,0.5005,1.0
164,fabecb6b,TR,long,0.0,green,0.3765,1.0
165,fabecb6b,TR,long,1.0,green,0.3244,1.0
166,fabecb6b,EN,long,0.0,green,0.3523,1.0
167,fabecb6b,EN,long,1.0,blue,0.5146,1.0
168,fabecb6b,TR,long,1.0,green,0.4965,1.0
169,fabecb6b,TR,long,1.0,blue,0.5608,1.0
170,fabecb6b,TR,long,0.0,blue,0.3433,0.0
171,fabecb6b,EN,long,0.0,red,0.9128,1.0
172,fabecb6b,EN,long,0.0,green,0.9268,1.0
173,fabecb6b,EN,long,1.0,red,0.5657,1.0
174,fabecb6b,TR,long,0.0,red,0.6929,1.0
175,fabecb6b,EN,long,1.0,blue,0.5358,1.0
176,fabecb6b,TR,long,0.0,green,0.4429,1.0
177,fabecb6b,EN,long,0.0,blue,0.637,1.0
178,fabecb6b,EN,long,1.0,green,0.5098,1.0
179,fabecb6b,TR,long,1.0,red,0.8126,1.0
180,fabecb6b,EN,short,0.0,red,0.3911,1.0
181,fabecb6b,EN,short,0.0,green,0.8173,1.0
182,fabecb6b,EN,short,1.0,green,0.4131,1.0
183,fabecb6b,EN,short,1.0,blue,0.3759,1.0
184,fabecb6b,EN,short,0.0,blue,0.3396,1.0
185,fabecb6b,TR,short,0.0,red,0.3537,1.0
186,fabecb6b,TR,short,1.0,red,0.2934,1.0
187,fabecb6b,TR,short,0.0,green,0.3178,1.0
188,fabecb6b,TR,short,1.0,blue,0.3528,1.0
189,fabecb6b,EN,short,1.0,red,0.5509,1.0
190,fabecb6b,TR,short,0.0,blue,0.4885,1.0
191,fabecb6b,TR,short,1.0,green,0.4139,1.0
192,fabecb6b,TR,short,1.0,blue,0.4347,1.0
193,fabecb6b,TR,short,0.0,blue,0.3827,1.0
194,fabecb6b,TR,short,0.0,green,0.4302,0.0
195,fabecb6b,EN,short,1.0,red,0.4925,1.0
196,fabecb6b,EN,short,1.0,blue,0.4927,1.0
197,fabecb6b,EN,short,0.0,red,0.4418,1.0
198,fabecb6b,TR,short,0.0,red,0.3527,1.0
199,fabecb6b,EN,short,0.0,green,0.3454,1.0
200,fabecb6b,EN,short,0.0,blue,0.311,1.0
201,fabecb6b,TR,short,1.0,green,0.3593,1.0
202,fabecb6b,TR,short,1.0,red,0.3422,1.0
203,fabecb6b,EN,short,1.0,green,0.4275,1.0
204,fabecb6b,TR,short,1.0,green,0.3778,1.0
205,fabecb6b,TR,short,0.0,red,0.3832,1.0
206,fabecb6b,EN,short,1.0,green,0.324,1.0
207,fabecb6b,EN,short,0.0,red,0.2784,1.0
208,fabecb6b,EN,short,1.0,red,0.2943,0.0
209,fabecb6b,TR,short,1.0,blue,0.6186,1.0
210,fabecb6b,TR,short,0.0,green,0.4415,0.0
211,fabecb6b,EN,short,0.0,blue,0.8585,0.0
212,fabecb6b,EN,short,0.0,green,1.0338,1.0
213,fabecb6b,TR,short,0.0,blue,0.6256,1.0
214,fabecb6b,TR,short,1.0,red,0.4923,1.0
215,fabecb6b,EN,short,1.0,blue,0.5114,1.0
216,fabecb6b,TR,short,0.0,red,0.5196,1.0
217,fabecb6b,TR,short,0.0,green,0.8252,1.0
218,fabecb6b,TR,short,1.0,green,0.509,1.0
219,fabecb6b,TR,short,1.0,red,0.4773,1.0
220,fabecb6b,EN,short,0.0,green,0.4254,1.0
221,fabecb6b,EN,short,0.0,blue,0.8925,1.0
222,fabecb6b,EN,short,0.0,red,0.612,1.0
223,fabecb6b,EN,short,1.0,blue,0.5781,1.0
224,fabecb6b,TR,short,0.0,blue,0.5349,1.0
225,fabecb6b,EN,short,1.0,red,0.5193,1.0
226,fabecb6b,TR,short,1.0,blue,0.5182,1.0
227,fabecb6b,EN,short,1.0,green,0.5638,1.0
228,fabecb6b,TR,short,0.0,blue,0.5068,1.0
229,fabecb6b,EN,short,0.0,blue,0.5156,1.0
230,fabecb6b,EN,short,0.0,green,0.7186,1.0
231,fabecb6b,EN,short,0.0,red,0.3929,1.0
232,fabecb6b,TR,short,1.0,red,0.3639,1.0
233,fabecb6b,EN,short,1.0,blue,0.6332,1.0
234,fabecb6b,EN,short,1.0,green,0.7354,1.0
235,fabecb6b,TR,short,1.0,green,0.4422,1.0
236,fabecb6b,TR,short,0.0,red,0.5923,1.0
237,fabecb6b,TR,short,1.0,blue,0.5025,1.0
238,fabecb6b,EN,short,1.0,red,0.5438,1.0
239,fabecb6b,TR,short,0.0,green,0.6089,1.0
240,e4ac8018,EN,long,1.0,red,1.578,1.0
241,e4ac8018,TR,long,0.0,red,0.657,1.0
242,e4ac8018,EN,long,1.0,blue,1.522,1.0
243,e4ac8018,TR,long,0.0,green,1.207,1.0
244,e4ac8018,TR,long,0.0,blue,0.807,1.0
245,e4ac8018,TR,long,1.0,red,0.586,1.0
246,e4ac8018,EN,long,0.0,red,0.525,1.0
247,e4ac8018,TR,long,1.0,blue,0.65,1.0
248,e4ac8018,EN,long,0.0,green,0.447,1.0
249,e4ac8018,TR,long,1.0,green,0.582,1.0
250,e4ac8018,EN,long,0.0,blue,0.613,1.0
251,e4ac8018,EN,long,1.0,green,0.546,1.0
252,e4ac8018,EN,long,0.0,blue,0.666,1.0
253,e4ac8018,EN,long,0.0,red,0.547,1.0
254,e4ac8018,EN,long,1.0,red,0.486,1.0
255,e4ac8018,EN,long,0.0,green,0.611,1.0
256,e4ac8018,TR,long,1.0,red,0.681,1.0
257,e4ac8018,EN,long,1.0,blue,1.001,1.0
258,e4ac8018,EN,long,1.0,green,0.57,1.0
259,e4ac8018,TR,long,1.0,blue,0.612,1.0
260,e4ac8018,TR,long,0.0,blue,0.53,1.0
261,e4ac8018,TR,long,1.0,green,0.375,0.0
262,e4ac8018,TR,long,0.0,red,0.997,1.0
263,e4ac8018,TR,long,0.0,green,1.356,1.0
264,e4ac8018,TR,long,1.0,blue,0.716,1.0
265,e4ac8018,TR,long,1.0,red,0.811,1.0
266,e4ac8018,TR,long,0.0,green,0.727,1.0
267,e4ac8018,EN,long,1.0,green,0.572,1.0
268,e4ac8018,TR,long,1.0,green,0.558,1.0
269,e4ac8018,EN,long,0.0,red,0.817,1.0
270,e4ac8018,EN,long,1.0,blue,0.826,1.0
271,e4ac8018,TR,long,0.0,red,0.976,1.0
272,e4ac8018,EN,long,0.0,blue,0.662,1.0
273,e4ac8018,EN,long,1.0,red,0.642,1.0
274,e4ac8018,EN,long,0.0,green,0.595,1.0
275,e4ac8018,TR,long,0.0,blue,1.371,1.0
276,e4ac8018,EN,long,1.0,blue,0.719,0.0
277,e4ac8018,TR,long,1.0,red,0.613,1.0
278,e4ac8018,TR,long,1.0,green,0.656,1.0
279,e4ac8018,TR,long,0.0,red,0.973,1.0
280,e4ac8018,EN,long,0.0,green,0.678,1.0
281,e4ac8018,EN,long,1.0,red,0.783,1.0
282,e4ac8018,EN,long,1.0,green,0.644,1.0
283,e4ac8018,EN,long,0.0,blue,0.676,1.0
284,e4ac8018,TR,long,0.0,green,0.586,1.0
285,e4ac8018,TR,long,1.0,blue,1.494,1.0
286,e4ac8018,TR,long,0.0,blue,0.718,1.0
287,e4ac8018,EN,long,0.0,red,1.302,1.0
288,e4ac8018,EN,long,0.0,blue,1.097,1.0
289,e4ac8018,TR,long,1.0,red,0.957,1.0
290,e4ac8018,EN,long,1.0,green,0.602,1.0
291,e4ac8018,TR,long,0.0,blue,0.701,1.0
292,e4ac8018,TR,long,0.0,green,0.664,1.0
293,e4ac8018,EN,long,1.0,red,0.634,1.0
294,e4ac8018,TR,long,0.0,red,0.597,1.0
295,e4ac8018,TR,long,1.0,green,0.615,1.0
296,e4ac8018,EN,long,0.0,green,0.523,1.0
297,e4ac8018,EN,long,0.0,red,1.967,1.0
298,e4ac8018,EN,long,1.0,blue,0.864,1.0
299,e4ac8018,TR,long,1.0,blue,0.687,1.0
300,e4ac8018,TR,short,0.0,green,30.002,1.0
301,e4ac8018,EN,short,0.0,red,1.407,1.0
302,e4ac8018,TR,short,1.0,blue,1.394,1.0
303,e4ac8018,TR,short,1.0,green,0.763,1.0
304,e4ac8018,TR,short,0.0,red,1.029,1.0
305,e4ac8018,EN,short,1.0,green,0.861,1.0
306,e4ac8018,TR,short,0.0,blue,0.875,1.0
307,e4ac8018,EN,short,1.0,red,1.015,1.0
308,e4ac8018,EN,short,0.0,green,0.685,1.0
309,e4ac8018,TR,short,1.0,red,0.966,1.0
310,e4ac8018,EN,short,1.0,blue,0.796,1.0
311,e4ac8018,EN,short,0.0,blue,0.838,1.0
312,e4ac8018,TR,short,0.0,blue,0.861,1.0
313,e4ac8018,TR,short,0.0,red,0.09,0.0
314,e4ac8018,EN,short,1.0,red,1.701,1.0
315,e4ac8018,EN,short,1.0,green,0.919,1.0
316,e4ac8018,TR,short,1.0,green,0.734,1.0
317,e4ac8018,EN,short,1.0,blue,0.784,1.0
318,e4ac8018,EN,short,0.0,green,1.19,1.0
319,e4ac8018,EN,short,0.0,red,0.956,1.0
320,e4ac8018,TR,short,1.0,red,0.773,1.0
321,e4ac8018,EN,short,0.0,blue,0.758,1.0
322,e4ac8018,TR,short,0.0,green,1.611,1.0
323,e4ac8018,TR,short,1.0,blue,1.086,1.0
324,e4ac8018,EN,short,0.0,red,1.071,1.0
325,e4ac8018,TR,short,1.0,blue,1.335,1.0
326,e4ac8018,TR,short,1.0,red,0.805,1.0
327,e4ac8018,EN,short,1.0,blue,0.724,1.0
328,e4ac8018,TR,short,1.0,green,0.69,1.0
329,e4ac8018,EN,short,1.0,green,0.661,1.0
330,e4ac8018,EN,short,1.0,red,0.74,1.0
331,e4ac8018,TR,short,0.0,blue,0.625,1.0
332,e4ac8018,TR,short,0.0,green,3.118,1.0
333,e4ac8018,TR,short,0.0,red,0.793,1.0
334,e4ac8018,EN,short,0.0,green,0.86,1.0
335,e4ac8018,EN,short,0.0,blue,0.698,1.0
336,e4ac8018,EN,short,0.0,red,0.725,1.0
337,e4ac8018,TR,short,0.0,blue,0.741,1.0
338,e4ac8018,EN,short,1.0,blue,1.944,1.0
339,e4ac8018,TR,short,1.0,red,0.664,1.0
340,e4ac8018,TR,short,1.0,blue,0.866,1.0
341,e4ac8018,TR,short,0.0,red,0.785,1.0
342,e4ac8018,TR,short,1.0,green,0.833,1.0
343,e4ac8018,EN,short,1.0,green,0.764,1.0
344,e4ac8018,EN,short,0.0,green,0.765,1.0
345,e4ac8018,EN,short,0.0,blue,1.727,1.0
346,e4ac8018,TR,short,0.0,green,0.728,1.0
347,e4ac8018,EN,short,1.0,red,1.584,1.0
348,e4ac8018,EN,short,0.0,green,1.833,1.0
349,e4ac8018,TR,short,0.0,green,0.886,1.0
350,e4ac8018,EN,short,1.0,blue,1.025,1.0
351,e4ac8018,TR,short,1.0,blue,0.669,1.0
352,e4ac8018,TR,short,0.0,red,0.272,0.0
353,e4ac8018,TR,short,0.0,blue,1.158,1.0
354,e4ac8018,EN,short,1.0,green,1.39,1.0
355,e4ac8018,EN,short,0.0,red,0.94,1.0
356,e4ac8018,TR,short,1.0,green,1.285,1.0
357,e4ac8018,EN,short,1.0,red,0.685,1.0
358,e4ac8018,TR,short,1.0,red,0.705,1.0
359,e4ac8018,EN,short,0.0,blue,0.881,1.0
360,95adb505,TR,long,0.0,red,1.9273,1.0
361,95adb505,EN,long,1.0,red,1.6856,1.0
362,95adb505,TR,long,1.0,red,1.0551,1.0
363,95adb505,EN,long,0.0,blue,2.7954,1.0
364,95adb505,TR,long,1.0,green,1.6752,1.0
365,95adb505,EN,long,0.0,green,2.6949,1.0
366,95adb505,EN,long,0.0,red,1.7943,1.0
367,95adb505,TR,long,0.0,green,2.2065,1.0
368,95adb505,TR,long,1.0,blue,1.6333,1.0
369,95adb505,TR,long,0.0,blue,1.4882,1.0
370,95adb505,EN,long,1.0,blue,1.1762,1.0
371,95adb505,EN,long,1.0,green,1.0088,1.0
372,95adb505,TR,long,0.0,green,0.9662,1.0
373,95adb505,EN,long,0.0,red,0.9933,1.0
